produto,ano_mes,volume,ano,mes
Aço Bruto / Crude Steel,2013_jan,2769.437,2013,jan
Laminados / Rolled Products (*),2013_jan,2051.441,2013,jan
Planos / Flat Products,2013_jan,1202.482,2013,jan
Longos / Long Products,2013_jan,848.959,2013,jan
"Semiacabados P/ Vendas /
Semifinished Products for Sale (*)",2013_jan,470.37100000000004,2013,jan
Placas / Slabs,2013_jan,394.66,2013,jan
"Blocos e Tarugos / Ingots, Blooms and Billets",2013_jan,75.711,2013,jan
Ferro-Gusa / Pig Iron,2013_jan,2178.041,2013,jan
Vendas Internas / Domestic Sales (*),2013_jan,1905.8190000000002,2013,jan
Laminados / Rolled Products,2013_jan,1852.8310000000001,2013,jan
Planos / Flat Products,2013_jan,1088.1460000000002,2013,jan
Longos / Long Products,2013_jan,764.685,2013,jan
"Semiacabados P/ Vendas /
Semifinished Products for Sale",2013_jan,52.988,2013,jan
Placas / Slabs,2013_jan,31.043,2013,jan
"Blocos e Tarugos / Ingots, Blooms and Billets",2013_jan,21.945,2013,jan
Vendas Externas / Foreign Market (**),2013_jan,717.366,2013,jan
Laminados / Rolled Products,2013_jan,248.626,2013,jan
Planos / Flat Products,2013_jan,178.471,2013,jan
Longos / Long Products,2013_jan,70.155,2013,jan
"Semiacabados P/ Vendas /
Semifinished Products for Sale",2013_jan,468.74,2013,jan
Placas / Slabs,2013_jan,426.772,2013,jan
"Blocos e Tarugos / Ingots, Blooms and Billets",2013_jan,41.968,2013,jan
Laminados / Rolled Products,2013_jan,330.997,2013,jan
Planos / Flat Products,2013_jan,211.669,2013,jan
Longos / Long Products,2013_jan,119.32799999999999,2013,jan
"Semiacabados P/ Vendas /
Semifinished Products for Sale",2013_jan,601.86,2013,jan
Placas / Slabs,2013_jan,547.595,2013,jan
"Blocos e Tarugos / Ingots, Blooms and Billets",2013_jan,54.265,2013,jan
Total (Mil t / Thousand Tonnes),2013_jan,932.857,2013,jan
(US$ Milhões / US$ Millions),2013_jan,573.5,2013,jan
Laminados / Rolled Products,2013_jan,277.653,2013,jan
Planos / Flat Products,2013_jan,140.752,2013,jan
Longos / Long Products,2013_jan,136.901,2013,jan
"Semiacabados P/ Vendas /
Semifinished Products for Sale",2013_jan,1.196,2013,jan
Total (Mil t / Thousand Tonnes),2013_jan,278.84900000000005,2013,jan
(US$ Milhões / US$ Millions),2013_jan,369.978,2013,jan
Consumo Aparente / Apparent Consumption (***),2013_jan,2167.705,2013,jan
"Planos / Flat Products
(Inclui Placas / Included Slabs)",2013_jan,1261.809,2013,jan
"Longos / Long Products
(Inclui Blocos e Tarugos / Included Ingots, Blooms and Billets)",2013_jan,905.896,2013,jan
Aço Bruto / Crude Steel,2013_fev,2574.894,2013,fev
Laminados / Rolled Products (*),2013_fev,1942.836,2013,fev
Planos / Flat Products,2013_fev,1144.078,2013,fev
Longos / Long Products,2013_fev,798.758,2013,fev
"Semiacabados P/ Vendas /
Semifinished Products for Sale (*)",2013_fev,480.793,2013,fev
Placas / Slabs,2013_fev,417.568,2013,fev
"Blocos e Tarugos / Ingots, Blooms and Billets",2013_fev,63.225,2013,fev
Ferro-Gusa / Pig Iron,2013_fev,1999.501,2013,fev
Vendas Internas / Domestic Sales (*),2013_fev,1791.6190000000001,2013,fev
Laminados / Rolled Products,2013_fev,1754.21,2013,fev
Planos / Flat Products,2013_fev,1019.5310000000001,2013,fev
Longos / Long Products,2013_fev,734.679,2013,fev
"Semiacabados P/ Vendas /
Semifinished Products for Sale",2013_fev,37.409,2013,fev
Placas / Slabs,2013_fev,19.015,2013,fev
"Blocos e Tarugos / Ingots, Blooms and Billets",2013_fev,18.394,2013,fev
Vendas Externas / Foreign Market (**),2013_fev,628.682,2013,fev
Laminados / Rolled Products,2013_fev,264.274,2013,fev
Planos / Flat Products,2013_fev,159.736,2013,fev
Longos / Long Products,2013_fev,104.538,2013,fev
"Semiacabados P/ Vendas /
Semifinished Products for Sale",2013_fev,364.408,2013,fev
Placas / Slabs,2013_fev,354.891,2013,fev
"Blocos e Tarugos / Ingots, Blooms and Billets",2013_fev,9.517,2013,fev
Laminados / Rolled Products,2013_fev,316.401,2013,fev
Planos / Flat Products,2013_fev,207.61100000000002,2013,fev
Longos / Long Products,2013_fev,108.78999999999999,2013,fev
"Semiacabados P/ Vendas /
Semifinished Products for Sale",2013_fev,498.926,2013,fev
Placas / Slabs,2013_fev,453.566,2013,fev
"Blocos e Tarugos / Ingots, Blooms and Billets",2013_fev,45.36,2013,fev
Total (Mil t / Thousand Tonnes),2013_fev,815.327,2013,fev
(US$ Milhões / US$ Millions),2013_fev,509.969,2013,fev
Laminados / Rolled Products,2013_fev,294.211,2013,fev
Planos / Flat Products,2013_fev,155.91299999999998,2013,fev
Longos / Long Products,2013_fev,138.298,2013,fev
"Semiacabados P/ Vendas /
Semifinished Products for Sale",2013_fev,0.16,2013,fev
Total (Mil t / Thousand Tonnes),2013_fev,294.37100000000004,2013,fev
(US$ Milhões / US$ Millions),2013_fev,311.089,2013,fev
Consumo Aparente / Apparent Consumption (***),2013_fev,2069.84,2013,fev
"Planos / Flat Products
(Inclui Placas / Included Slabs)",2013_fev,1195.402,2013,fev
"Longos / Long Products
(Inclui Blocos e Tarugos / Included Ingots, Blooms and Billets)",2013_fev,874.438,2013,fev
Aço Bruto / Crude Steel,2013_mar,2858.521,2013,mar
Laminados / Rolled Products (*),2013_mar,2194.384,2013,mar
Planos / Flat Products,2013_mar,1261.646,2013,mar
Longos / Long Products,2013_mar,932.738,2013,mar
